192.168.1.1 - - [22/Jun/2023:10:19:40 -0400] "GET / HTTP/1.1" 200 11437
127.0.0.1 - - [22/Jun/2023:11:52:46 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:47 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:47 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:47 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:47 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:47 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:48 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:48 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:48 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:52:48 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:54:36 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:54:36 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:54:37 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:54:39 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:11:57:28 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 200 3
127.0.0.1 - - [22/Jun/2023:11:57:29 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 200 3
127.0.0.1 - - [22/Jun/2023:11:57:33 -0400] "GET /frequentflier/login?user=mike&pass=me1234 HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:28:57 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 404 775
127.0.0.1 - - [22/Jun/2023:22:28:58 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 404 775
127.0.0.1 - - [22/Jun/2023:22:29:01 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 404 775
127.0.0.1 - - [22/Jun/2023:22:29:06 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 404 775
127.0.0.1 - - [22/Jun/2023:22:29:08 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 404 775
127.0.0.1 - - [22/Jun/2023:22:31:17 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 200 3
127.0.0.1 - - [22/Jun/2023:22:32:10 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:32:11 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:32:11 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:32:11 -0400] "GET /frequentflier/login?user=&pass= HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:35:05 -0400] "GET /firstJSP/database.jsp HTTP/1.1" 200 1914
127.0.0.1 - - [22/Jun/2023:22:35:08 -0400] "GET /firstJSP/database.jsp HTTP/1.1" 200 1914
127.0.0.1 - - [22/Jun/2023:22:35:09 -0400] "GET /firstJSP/database.jsp HTTP/1.1" 200 1914
127.0.0.1 - - [22/Jun/2023:22:35:09 -0400] "GET /firstJSP/database.jsp HTTP/1.1" 200 1914
127.0.0.1 - - [22/Jun/2023:22:35:10 -0400] "GET /firstJSP/database.jsp HTTP/1.1" 200 1914
127.0.0.1 - - [22/Jun/2023:22:37:14 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 200 3
127.0.0.1 - - [22/Jun/2023:22:37:43 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 200 3
127.0.0.1 - - [22/Jun/2023:22:37:50 -0400] "GET /frequentflier/login?user=yes&pass=me1234 HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:37:51 -0400] "GET /frequentflier/login?user=no&pass=me1234 HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:37:52 -0400] "GET /frequentflier/login?user=no&pass=me1234 HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:37:59 -0400] "GET /frequentflier/login?user=mike&pass=me1234 HTTP/1.1" 200 2
127.0.0.1 - - [22/Jun/2023:22:38:09 -0400] "GET /frequentflier/login?user=mike&pass=me123 HTTP/1.1" 200 3
